Title,Year,Rated,Released,Runtime,Genre,Director,Writer,Poster,imdbRating,imdbVotes,imdbID,Type,saturation,brightness,entropy,sharpness,contrast,colorfulness,hex_0,hex_1,hex_2,hex_3,hex_4
There's No Place Like Utopia,2014,PG-13,18 Jul 2014,110 min,Documentary,Joel Gilbert,Joel Gilbert,https://m.media-amazon.com/images/M/MV5BMTk0NjI0NDc2M15BMl5BanBnXkFtZTgwNjIyNjkxMjE@._V1_SX300.jpg,4.5,236,tt3868452,movie,72.6133198106829,40.45354124408384,3.4627033943965517,2527.659853732329,67.14171436286841,87.57706944144569,#cbe3e4,#cd9736,#3b7bce,#6f4120,#050603
A Christmas Carol,2015,Not Rated,20 Nov 2015,59 min,"Drama, Family, Fantasy",Anthony D.P. Mann,Charles Dickens,https://m.media-amazon.com/images/M/MV5BYWE2OTAzYTYtOWI1OS00ZTFmLTlhNDItMmIxM2U3ODQwMjFiXkEyXkFqcGdeQXVyMTc0ODg5NTQ@._V1_SX300.jpg,3.9,88,tt4776578,movie,41.170640400135014,61.69158304949523,5.029095755086072,6495.616818012054,72.68134867508348,63.85852531842717,#a5342b,#47636a,#2f1b18,#8ca0aa,#e5e5e5
Mother!,2017,R,15 Sep 2017,121 min,"Drama, Horror, Mystery",Darren Aronofsky,Darren Aronofsky,https://m.media-amazon.com/images/M/MV5BMzc5ODExODE0MV5BMl5BanBnXkFtZTgwNDkzNDUxMzI@._V1_SX300.jpg,6.6,"220,371",tt5109784,movie,48.897422339722404,40.84355144304913,4.174687734082397,1301.704803123287,59.20188967966028,27.373780731582833,#a1826d,#c7b5a5,#1c0c08,#462b1e,#71513b
Enemy,2013,R,06 Feb 2014,91 min,"Drama, Mystery, Thriller",Denis Villeneuve,"José Saramago, Javier Gullón",https://m.media-amazon.com/images/M/MV5BMTQ2NzA5NjE4N15BMl5BanBnXkFtZTgwMjQ4NzMxMTE@._V1_SX300.jpg,6.9,"190,897",tt2316411,movie,63.957128914914385,82.01355691597907,2.2222136595022626,1993.6003921568627,61.52585079183363,111.7459334093988,#837652,#a53313,#2a1c13,#f4e7c6,#eab623
Hulk: Where Monsters Dwell,2016,PG,21 Oct 2016,75 min,"Animation, Action, Fantasy, Sci-Fi","Eric Radomski, Mitch Schauer","Stan Lee (based on the Marvel comics by), Jack Kirby (based on the Marvel comics by), Marty Isenberg, David McDermott",https://m.media-amazon.com/images/M/MV5BZGUwMTc5ZjUtNDJkOC00MTI0LTk0ZDUtN2IzNTJjOGQxZGUwXkEyXkFqcGdeQXVyMzIyMDc0Nw@@._V1_SX300.jpg,5.4,"1,001",tt6173902,movie,60.53874800290487,34.820313725490195,3.5027458333333334,2597.7311191273525,55.86812475939628,54.70301044227416,#d2b0b8,#9fbd3f,#1d1b56,#050513,#554d63
"Father, Son & Holy Cow",2011,N/A,16 Feb 2012,90 min,Comedy,Radek Wegrzyn,"Roberto Gagnor, Cezary Iber, Radek Wegrzyn",https://m.media-amazon.com/images/M/MV5BMDZmNzBlOTEtYmYyNy00YWE3LTliNDUtZDgyNmM1NDFmMTliXkEyXkFqcGdeQXVyMTk5Mzk0NTI@._V1_SX300.jpg,6.8,239,tt1242517,movie,56.42803674929091,72.24990751017388,5.115712952044025,2987.224101963863,67.85117498478,87.42742376077258,#9ec8dc,#88671a,#2f2b0b,#e6e1d0,#e4a135
Little Sister,2016,N/A,14 Oct 2016,91 min,"Comedy, Drama",Zach Clark,"Zach Clark, Melodie Sisk",https://m.media-amazon.com/images/M/MV5BNTY5YjA0NDEtZmQyNS00OTdiLTg0NWYtY2M1NWQ1ODU5ZDZhXkEyXkFqcGdeQXVyNTA0Njk3Nw@@._V1_SX300.jpg,6.3,"3,707",tt5434870,movie,33.07569039627863,61.5621503856798,4.314504973723723,1105.7497146921694,59.21030699052718,41.52903605911938,#99475a,#416776,#4e3321,#8099a3,#c3cccb
Light from Light,2019,Not Rated,01 Nov 2019,82 min,Drama,Paul Harrill,Paul Harrill,https://m.media-amazon.com/images/M/MV5BMDIxODJlY2QtYTU3YS00NTI4LWI3NWUtYmRkYTc3YmNkNDkyXkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_SX300.jpg,6.0,739,tt9358160,movie,33.61376237477685,40.4076896973989,2.3859746519939806,1191.2346866392527,94.04471125665235,27.88521621829562,#acbec1,#6b8da0,#33506a,#ebe7d7,#020305
A Cookie Cutter Christmas,2014,TV-G,09 Nov 2014,84 min,"Comedy, Romance",Christie Will Wolf,Barbara Kymlicka,https://m.media-amazon.com/images/M/MV5BNzg4Zjc1ZTQtZTQ4OC00NjY1LThiNWEtMzQzYjVhNzQ5OTllXkEyXkFqcGdeQXVyNjg5MzE4NTA@._V1_SX300.jpg,5.9,"1,884",tt4012254,movie,67.76336084545177,57.88304583897405,4.457703229398664,2707.0563724741223,60.38320199423361,87.21378369097168,#25732a,#aa7857,#e5baa3,#bd2112,#401a0c
The Happy Poet,2010,Not Rated,17 Sep 2010,85 min,"Comedy, Drama, Romance",Paul Gordon,Paul Gordon,https://m.media-amazon.com/images/M/MV5BMjE2NTM0OTUxNF5BMl5BanBnXkFtZTcwNTYzNjMzMw@@._V1_SX300.jpg,6.0,270,tt1605765,movie,81.91295319002874,48.8906508774188,4.058301878191101,1899.5968589241772,45.97499106968018,79.40506943336797,#e3f1e8,#d5ad67,#7b603a,#0c442e,#05815f
Cherry Pop,2017,N/A,22 Sep 2017,79 min,"Comedy, Musical",Assaad Yacoub,Nick Landa,https://m.media-amazon.com/images/M/MV5BMjQwMjk0MGMtZDZjMy00MDVlLTk4Y2MtMTA5MDE5YTU0MjdkXkEyXkFqcGdeQXVyMjQ3MTMzNDU@._V1_SX300.jpg,4.5,"1,510",tt4807950,movie,39.36775599128541,56.04702349408232,3.9824558933933933,1385.5302409611752,47.79076107357718,53.51225650191945,#f7d8d2,#ce9a9d,#69437c,#363045,#a45892
The Heart of Man,2017,PG-13,24 Oct 2017,76 min,Documentary,Eric Esau,"Eric Esau, Jason Pamer, Jonathan Sharpe",https://m.media-amazon.com/images/M/MV5BYWRjMjNiOTItNjY3Zi00MjE3LWJiNTktNGEwZjhkMzhlYzFlXkEyXkFqcGdeQXVyMzM5MDAxNDc@._V1_SX300.jpg,8.1,511,tt4585080,movie,24.14629892982834,14.70591682826977,3.0177161172161173,1518.9872904990002,61.734295771334764,13.781207859349239,#929486,#53564e,#dcd6c5,#1f2321,#040404
Don't Go,2018,Unrated,26 Oct 2018,91 min,Thriller,David Gleeson,"John Collins, David Gleeson, Ronan Blaney",https://m.media-amazon.com/images/M/MV5BZTkzMGEyNjctMTRkNC00ZTY0LWJiODQtMWM1YTAyMGM1OTIyXkEyXkFqcGdeQXVyODY3Nzc0OTk@._V1_SX300.jpg,5.2,"1,595",tt3339680,movie,23.555269975858213,34.643799682034974,3.6498505536786787,1149.7621681591502,71.67260557679404,24.94434559845642,#afb7ae,#f9f7f4,#4a3538,#737a75,#140e0f
Don't Look,2018,N/A,14 May 2019,71 min,Horror,Luciana Faulhaber,"Jessica Boucher, Luciana Faulhaber, Danielle Killay",https://m.media-amazon.com/images/M/MV5BY2QwODA2OTQtNDFkNS00MzY5LTljNTAtZmIwNjk3NmY5NDJkXkEyXkFqcGdeQXVyMTc0MjEyODU@._V1_SX300.jpg,2.7,320,tt3070506,movie,40.36789615613145,34.8976948976949,4.7335416666666665,1984.4825405094518,55.618186513539065,45.22512716816807,#c33127,#b2c4cb,#68818f,#344451,#10161d
Attrition,2018,R,05 Nov 2018,85 min,Thriller,Mathieu Weschler,Steven Seagal,https://m.media-amazon.com/images/M/MV5BMGVkMGIxN2QtZTY4MC00NGVjLWE2MWUtYWQ3ZjhjMzk0NGYwXkEyXkFqcGdeQXVyMzcyNDc2OQ@@._V1_SX300.jpg,4.0,"1,099",tt5465970,movie,50.96007103658093,32.33788957305268,3.665684855233853,3464.3422381332434,64.85915013283937,91.04597946817161,#ddd7e7,#a59095,#de1116,#6b2425,#0b0809
Marley,2012,PG-13,20 Apr 2012,144 min,"Documentary, Biography, Music",Kevin Macdonald,N/A,https://m.media-amazon.com/images/M/MV5BMTg3NDUzMzQ2OF5BMl5BanBnXkFtZTcwNzY4NTE0Nw@@._V1_SX300.jpg,7.9,"13,825",tt1183919,movie,66.18076815745025,33.01279870749798,4.996014981273408,3775.2633229465414,75.28974421747336,85.70826900769396,#f2f1e5,#7f452a,#40914e,#ead120,#13110a
Pyatnitsa,2016,N/A,26 Feb 2016,87 min,Comedy,Evgeniy Shelyakin,"Maksim Anikin, Said Davdiev, Ibragim Magomedov",https://m.media-amazon.com/images/M/MV5BMjM1NzgzNmEtNWVjYS00NWEwLTkxYTctYmU4ODFhOTNlNWU2XkEyXkFqcGdeQXVyNjUwNDc3MjM@._V1_SX300.jpg,6.2,"1,027",tt5311004,movie,48.67598842815815,70.27214033154246,4.849408177205309,3514.6446938071044,75.19978471097282,97.14837185256437,#7f586a,#b79daa,#e8ac0b,#ecebee,#2f1734
City of Gold,2015,R,11 Mar 2016,96 min,"Documentary, Biography",Laura Gabbert,Laura Gabbert,https://m.media-amazon.com/images/M/MV5BMjExODcxNjYyNV5BMl5BanBnXkFtZTgwNDI2OTEyODE@._V1_SX300.jpg,7.2,"1,002",tt2614776,movie,40.34391128736139,53.845399133436146,4.741296348314607,2851.913597330247,63.79085335810588,56.83745455732,#ebdcce,#5e492f,#181412,#bf9c74,#a27a48
The Manual,2017,N/A,20 Jul 2018,30 min,"Short, Sci-Fi",Wil Magness,Wil Magness,https://m.media-amazon.com/images/M/MV5BM2NkOGRkZTItODRhNy00NWQxLWE5MjQtNTFkMTMwNTU2YTg4XkEyXkFqcGdeQXVyMTg1MjU2NDU@._V1_SX300.jpg,5.0,363,tt6173346,movie,13.739562550166266,61.24991973397546,2.0599785270467836,301.11129957032716,41.207769486077446,11.51338800239903,#142625,#43544f,#6d7f7c,#dee0e0,#92a5a3
Hedi Schneider Is Stuck,2015,N/A,07 May 2015,90 min,"Comedy, Drama",Sonja Heiss,Sonja Heiss,https://m.media-amazon.com/images/M/MV5BMTk1NDUwMTE3OV5BMl5BanBnXkFtZTgwNzc4MjQzNDE@._V1_SX300.jpg,6.4,404,tt3707396,movie,21.497257977700883,60.772367550941944,3.9089161764705884,3530.8846450075516,62.72577475499509,26.372891108997734,#443d3e,#be9a88,#717772,#191412,#afb9c8
Funny People,2009,R,31 Jul 2009,146 min,"Comedy, Drama",Judd Apatow,Judd Apatow,https://m.media-amazon.com/images/M/MV5BNWU0ZDllZWEtNWI4ZC00YjIzLTk3YjMtZmE0MmFiNzg4MmRlL2ltYWdlXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,6.3,"119,280",tt1201167,movie,34.821405595946246,44.01429389733421,3.696388108614232,4425.471692815161,94.8027527389543,29.73222300912864,#946c57,#47342a,#d5b3a1,#eee5d6,#0d0b0e
Crypto,2019,R,12 Apr 2019,105 min,"Crime, Drama, Thriller",John Stalberg Jr.,"Carlyle Eubank, David Frigerio, Jeff Ingber",https://m.media-amazon.com/images/M/MV5BN2I3YjljOTMtNTg0Ny00NDdhLTlkODUtMzEwMzMwZWNkZTIwXkEyXkFqcGdeQXVyOTg4MDYyNw@@._V1_SX300.jpg,5.2,"5,228",tt8563452,movie,48.64370400840989,34.43313984490455,4.763728146853147,2986.187835503985,64.08628518925202,32.842427028149025,#d6d0c2,#8e9d8d,#4f6e63,#223f3a,#071415
Hari Kondabolu: Warn Your Relatives,2018,N/A,08 May 2018,67 min,Comedy,Bobcat Goldthwait,Hari Kondabolu,https://m.media-amazon.com/images/M/MV5BZTM4NjY0NzAtOGQ2ZS00OTBhLTlmOWQtOTQyZGUzYWM2OTcyXkEyXkFqcGdeQXVyMTY5OTQzNzY@._V1_SX300.jpg,6.5,851,tt8342748,movie,55.55719887955182,41.62633053221288,3.4851765873015874,2146.54052498841,76.04007882242874,101.7210079686073,#a2918b,#e3dad4,#fb9202,#323135,#14100e
Sisters,2015,R,18 Dec 2015,118 min,Comedy,Jason Moore,Paula Pell,https://m.media-amazon.com/images/M/MV5BMjM3MzQ5NDE5MF5BMl5BanBnXkFtZTgwODE5OTQyNzE@._V1_SX300.jpg,6.0,"66,724",tt1850457,movie,21.151790025319436,75.36017193664253,3.200548517267267,2727.1150036792988,86.82572666210308,42.4594808623994,#d1a379,#7c5b41,#f2cfb1,#271f1a,#fefefd
Stutterer,2015,PG,09 Sep 2015,12 min,"Short, Drama, Romance",Benjamin Cleary,Benjamin Cleary,https://m.media-amazon.com/images/M/MV5BMTUwNTA2NzUxNl5BMl5BanBnXkFtZTgwNzIzNjczNzE@._V1_SX300.jpg,7.7,"3,003",tt4817576,movie,40.45185879970819,35.33249661292003,4.198195235383447,617.3281245171346,42.65021079956296,26.95005898654759,#ab9594,#060d17,#262428,#584239,#89685b
Fry and Laurie Reunited,2010,N/A,24 Nov 2010,67 min,Documentary,Mike Reilly,N/A,https://m.media-amazon.com/images/M/MV5BNGJhMGE1M2QtMGY0OS00MmEyLTg0YjEtMDIyM2Y4MTlmMWNhL2ltYWdlXkEyXkFqcGdeQXVyNzEzNjU4NzA@._V1_SX300.jpg,7.3,164,tt1786488,movie,49.98908061002179,38.38321568627451,4.729773611111111,3339.1820895032097,64.75781473095653,42.93267158752819,#af9891,#ddd4d5,#795a47,#130d0f,#5a3217
